plot_no,property_type,price,location,city,baths,purpose,bedrooms,Area_in_Marla
2888,Lower Portion,27000,Gulshan-e-Iqbal Town,Mumbai,2,For Rent,2,4.8
2889,Lower Portion,85000,DHA Defence,Mumbai,2,For Rent,2,20
2891,Flat,25000000,Clifton,Mumbai,3,For Sale,3,9.6
2892,Flat,6000000,DHA Defence,Mumbai,2,For Sale,2,2.4
2894,House,9500000,Malir,Mumbai,3,For Sale,3,4.8
2895,Flat,10400000,Defence View Society,Mumbai,2,For Sale,3,4.7
2896,House,11000000,Federal B Area,Mumbai,2,For Sale,1,4.8
2897,Flat,1800000,North Mumbai,Mumbai,1,For Sale,1,2
2898,Flat,9500000,Gulshan-e-Iqbal Town,Mumbai,3,For Sale,3,6.7
2901,House,15000000,Rufi Rose Petals,Mumbai,3,For Sale,3,5
2902,Flat,15500000,Gulistan-e-Jauhar,Mumbai,6,For Sale,4,12
2903,Flat,30000000,Cantt,Mumbai,5,For Sale,3,12.2
2907,House,14000000,Malir,Mumbai,5,For Sale,4,4.8
2910,Flat,13500000,DHA Defence,Mumbai,3,For Sale,3,5.3
2912,Flat,15000000,Gulistan-e-Jauhar,Mumbai,6,For Sale,4,12
2915,Flat,15000000,Punjab Chowrangi,Mumbai,4,For Sale,3,9.8
2918,Flat,7500000,Gulshan-e-Iqbal Town,Mumbai,2,For Sale,2,4
2919,Flat,6300000,Bahria Town Mumbai,Mumbai,2,For Sale,2,4.2
2921,House,10500000,North Mumbai,Mumbai,7,For Sale,6,4.8
2922,House,5100000,North Mumbai,Mumbai,3,For Sale,5,3.2
2924,Flat,38500000,DHA Defence,Mumbai,2,For Sale,2,7.3
2925,House,4600000,Malir,Mumbai,3,For Sale,5,3.2
2926,Flat,12500000,DHA Defence,Mumbai,2,For Sale,2,4.2
2929,House,6500000,Ghauri Town,Pune,2,For Sale,2,5
2933,House,17000000,CBR Town,Pune,4,For Sale,4,11
2938,House,11500000,Ghauri Town,Pune,6,For Sale,4,6
2939,Flat,10100000,Pune Highway,Pune,2,For Sale,2,5.3
2941,Flat,16000000,F-11,Pune,3,For Sale,3,10.7
2942,House,9200000,Shaheen Town,Pune,6,For Sale,4,5
2944,House,25000000,National Police Foundation O-9,Pune,6,For Sale,6,20
2946,House,12000000,Ghauri Town,Pune,6,For Sale,6,5
2947,House,13000000,Pakistan Town,Pune,5,For Sale,4,6
2949,Flat,11000000,G-11,Pune,3,For Sale,3,4.9
2950,House,16000000,Meherban Colony,Pune,5,For Sale,5,8
2951,House,13000000,Zaraj Housing Scheme,Pune,5,For Sale,4,10
2954,House,41000000,G-9,Pune,3,For Sale,5,14
2956,House,22500000,G-11,Pune,5,For Sale,6,5
2958,House,13000000,Ghauri Town,Pune,7,For Sale,6,7
2959,House,15000000,G-13,Pune,6,For Sale,5,4
2960,House,11000000,Multi Residencia & Orchards,Pune,5,For Sale,4,8
2962,Flat,3360000,Capital Enclave,Pune,2,For Sale,1,2.1
2963,Upper Portion,45000,DHA Defence,Pune,3,For Rent,3,20
2964,House,30000,DHA Defence,Pune,3,For Rent,3,20
2965,House,450000,F-8,Pune,5,For Rent,4,20
2966,House,40000,G-9,Pune,2,For Rent,3,14
2967,Lower Portion,26000,Margalla Town,Pune,3,For Rent,3,9.3
2971,Flat,97000,F-11,Pune,3,For Rent,2,11.6
2973,Upper Portion,25000,D-17,Pune,4,For Rent,4,8
2975,House,75000,G-16,Pune,6,For Rent,4,18
2976,Upper Portion,40000,G-11,Pune,2,For Rent,3,7.5
2977,Upper Portion,150000,F-11,Pune,4,For Rent,4,40
2978,Flat,60000,Diplomatic Enclave,Pune,1,For Rent,1,4
2979,Flat,65000,F-11,Pune,3,For Rent,3,10.7
2980,House,40000,DHA Defence,Pune,2,For Rent,2,5
2983,Upper Portion,60000,E-11,Pune,2,For Rent,2,10
2984,Upper Portion,33000,Soan Garden,Pune,3,For Rent,4,20
2985,Flat,290000,F-8,Pune,5,For Rent,3,11.7
2986,Flat,35000,F-11,Pune,1,For Rent,1,5.6
2989,House,300000,F-8,Pune,5,For Rent,5,40
2994,Lower Portion,75000,Bani Gala,Pune,5,For Rent,4,40
2996,House,28000,Korang Town,Pune,3,For Rent,3,12
2997,Flat,33000,DHA Defence,Pune,3,For Rent,3,11
2998,House,35000,PWD Road,Pune,3,For Rent,3,10
2999,House,8800000,Kareem City,Chandigarh,4,For Sale,5,5
3001,House,17000000,Peoples Colony No 1,Chandigarh,2,For Sale,2,10
3002,House,12000000,Madina Town,Chandigarh,3,For Sale,5,6.5
3003,House,17500000,Eden Gardens,Chandigarh,5,For Sale,5,10
3004,House,35000000,Gulshan-e-Hayat,Chandigarh,5,For Sale,5,14
3005,House,30000000,Zia Colony,Chandigarh,7,For Sale,5,15
3006,House,17500000,Satiana Road,Chandigarh,6,For Sale,6,10
3007,House,9000000,Sheikh Colony,Chandigarh,5,For Sale,5,5
3008,House,14000000,Dhok Kashmirian,Delhi,4,For Sale,4,5.3
3009,House,25000000,Bahria Town Delhi,Delhi,5,For Sale,5,10
3010,House,4200000,Airport Housing Society,Delhi,3,For Sale,2,4
3011,House,12500000,Shalley Valley,Delhi,4,For Sale,4,6
3012,House,18000000,Askari 14,Delhi,3,For Sale,3,10
3013,House,6500000,Adiala Road,Delhi,3,For Sale,2,7
3014,House,6000000,Adiala Road,Delhi,3,For Sale,3,6
3015,Flat,3500000,Bahria Town Delhi,Delhi,1,For Sale,1,3
3016,House,18000000,Satellite Town,Delhi,3,For Sale,3,5
3017,House,14500000,Bahria Town Delhi,Delhi,5,For Sale,5,7
3018,House,17000000,Media Town,Delhi,3,For Sale,3,10
3019,Flat,12800000,Askari 14,Delhi,3,For Sale,3,10.9
3020,House,7000000,Satellite Town,Delhi,4,For Sale,4,3
3022,House,23000000,Bahria Town Delhi,Delhi,6,For Sale,5,10
3023,Flat,11700000,Askari 14,Delhi,3,For Sale,3,10
3024,Flat,17500000,Askari 15,Delhi,4,For Sale,4,10
3025,House,4200000,Airport Road,Delhi,3,For Sale,2,5
3027,House,11500000,Bahria Town Delhi,Delhi,5,For Sale,5,7
3028,House,19000000,Bahria Town Delhi,Delhi,7,For Sale,5,10
3030,House,4600000,Adiala Road,Delhi,2,For Sale,2,5.6
3031,House,6800000,Gulzar-e-Quaid Housing Society,Delhi,3,For Sale,3,4
3032,House,4000000,Adiala Road,Delhi,3,For Sale,2,4
3033,House,37000000,Bahria Town Delhi,Delhi,7,For Sale,6,20
3034,House,15000000,Airport Housing Society,Delhi,6,For Sale,5,10
3035,Upper Portion,5500000,Adiala Road,Delhi,3,For Sale,2,5
3036,House,14000000,Gulraiz Housing Scheme,Delhi,5,For Sale,5,7
3037,House,11000000,Gulzar-e-Quaid Housing Society,Delhi,3,For Sale,3,5
3038,Flat,3500000,Asghar Mall Road,Delhi,2,For Sale,2,2
3039,House,13500000,Bahria Town Delhi,Delhi,6,For Sale,5,8
3040,House,4200000,Adiala Road,Delhi,4,For Sale,4,5
3043,House,20000,Samanabad,Chandigarh,3,For Rent,4,4
3045,House,35000,Canal Road,Chandigarh,5,For Rent,4,5
3046,House,25000,Satiana Road,Chandigarh,3,For Rent,2,3
3049,Flat,50000,Bahria Town Delhi,Delhi,1,For Rent,1,3.7
3050,Flat,40000,Askari 14,Delhi,3,For Rent,3,10
3051,Flat,25000,Saidpur Road,Delhi,2,For Rent,3,3
3053,House,16000,Friends Colony,Delhi,2,For Rent,3,5
3054,House,23000,Bilal Colony,Delhi,3,For Rent,3,5
3058,Flat,40000,Bahria Town Delhi,Delhi,2,For Rent,1,5
3060,House,42000,Askari 14,Delhi,4,For Rent,3,10
3062,House,10500000,Eden,Hyderabad,5,For Sale,4,5
3063,House,17500000,Cavalry Ground,Hyderabad,5,For Sale,4,10
3064,House,11000000,Paragon City,Hyderabad,4,For Sale,3,5
3065,House,6900000,Mehar Fayaz Colony,Hyderabad,3,For Sale,3,3
3067,House,9000000,Jinnah Colony,Hyderabad,5,For Sale,4,4
3069,House,17000000,Faisal Town,Hyderabad,3,For Sale,3,7
3070,House,33500000,Askari,Hyderabad,5,For Sale,4,20
3071,House,7500000,Hassan Town,Hyderabad,4,For Sale,3,5
3072,House,8500000,Sajid Garden,Hyderabad,4,For Sale,4,5
3073,House,20500000,Askari,Hyderabad,3,For Sale,3,10
3074,House,22000000,Askari,Hyderabad,4,For Sale,4,10
3075,House,7800000,Bahria Town,Hyderabad,1,For Sale,1,5
3076,Flat,11000000,Askari,Hyderabad,3,For Sale,3,10
3077,Flat,15500000,Askari,Hyderabad,3,For Sale,3,10
3078,House,4150000,Salamatpura,Hyderabad,3,For Sale,2,3
3080,House,6500000,Mustafa Town,Hyderabad,3,For Sale,3,3
3081,House,39500000,EME Society,Hyderabad,5,For Sale,5,20
3086,House,17000000,PIA Housing Scheme,Hyderabad,5,For Sale,5,10
3087,House,6500000,Mughalpura,Hyderabad,2,For Sale,4,4
3088,House,22500000,Sham Nagar,Hyderabad,5,For Sale,5,13
3089,House,13500000,Central Park Housing Scheme,Hyderabad,7,For Sale,6,10
3090,House,14500000,Faisal Town,Hyderabad,5,For Sale,4,7
3091,House,30000000,PIA Housing Scheme,Hyderabad,6,For Sale,6,20
3092,House,24500000,River View Coop Housing Society,Hyderabad,4,For Sale,4,20
3093,House,18000000,Johar Town,Hyderabad,5,For Sale,4,9
3095,House,18000000,Bahria Town,Hyderabad,7,For Sale,5,10
3096,House,29000000,Askari,Hyderabad,5,For Sale,4,10
3097,House,22500000,Askari,Hyderabad,5,For Sale,4,10
3098,House,24000000,Askari,Hyderabad,5,For Sale,4,10
3099,House,30000000,Askari,Hyderabad,6,For Sale,5,12
3100,House,22800000,Askari,Hyderabad,5,For Sale,4,10
3101,House,39000000,Askari,Hyderabad,6,For Sale,5,20
3104,House,5800000,Naz Town,Hyderabad,2,For Sale,2,5
3105,House,3500000,Bahar Shah Road,Hyderabad,2,For Sale,3,2.5
3108,House,14000000,Valencia Housing Society,Hyderabad,2,For Sale,3,8
3109,House,42500000,Gulberg,Hyderabad,5,For Sale,4,40
3110,House,34000000,Eden,Hyderabad,6,For Sale,5,20
3111,House,7000000,Marghzar Officers Colony,Hyderabad,4,For Sale,6,3
3112,House,25000000,Shadbagh,Hyderabad,4,For Sale,5,10
3113,House,24500000,Raiwind Road,Hyderabad,5,For Sale,4,20
3114,House,6000000,Ring Road,Hyderabad,4,For Sale,3,3
3115,House,25000000,Samanabad,Hyderabad,4,For Sale,5,11
3116,Flat,18500000,Askari,Hyderabad,3,For Sale,3,10
3117,House,20500000,Paragon City,Hyderabad,6,For Sale,4,10
3119,House,3400000,Ferozepur Road,Hyderabad,2,For Sale,2,2
3120,House,5800000,Rehan Garden,Hyderabad,4,For Sale,3,4
3121,House,4500000,Harbanspura Road,Hyderabad,1,For Sale,1,3
3122,House,16000000,Sabzazar Scheme,Hyderabad,6,For Sale,5,10
3123,Upper Portion,15000000,Gulshan-e-Iqbal Town,Mumbai,3,For Sale,3,9.6
3124,Upper Portion,5500000,Federal B Area,Mumbai,1,For Sale,4,4.8
3127,Flat,11000000,DHA Defence,Mumbai,3,For Sale,2,4.9
3128,House,10000000,Gulistan-e-Jauhar,Mumbai,3,For Sale,4,4.8
3129,House,7500000,Scheme 33,Mumbai,3,For Sale,2,4.8
3130,Flat,32000000,Khaliq-uz-Zaman Road,Mumbai,4,For Sale,3,9.3
3132,Flat,8200000,Gulshan-e-Iqbal Town,Mumbai,1,For Sale,2,4.2
3133,House,13000000,Scheme 33,Mumbai,5,For Sale,0,4
3134,House,5500000,Orangi Town,Mumbai,2,For Sale,4,9.6
3135,Flat,3300000,Gadap Town,Mumbai,2,For Sale,2,3.3
3136,Flat,4500000,Suparco Road,Mumbai,2,For Sale,2,3.2
3139,Flat,6000000,Gulistan-e-Jauhar,Mumbai,3,For Sale,3,6
3141,Flat,9800000,DHA Defence,Mumbai,2,For Sale,2,4.2
3142,Upper Portion,12500000,Gulistan-e-Jauhar,Mumbai,3,For Sale,3,9.6
3143,House,11500000,Scheme 33,Mumbai,2,For Sale,2,4.8
3145,House,33000000,Nazimabad,Mumbai,3,For Sale,3,8.6
3151,House,15000000,Gulshan-e-Areesha,Mumbai,4,For Sale,4,4.8
3152,House,18500000,Scheme 33,Mumbai,4,For Sale,3,12
3154,Flat,4800000,Korangi,Mumbai,2,For Sale,2,3.3
3155,Flat,7000000,DHA Defence,Mumbai,2,For Sale,0,2
3156,Flat,6200000,Gulshan-e-Iqbal Town,Mumbai,2,For Sale,2,4.2
3158,House,7000000,Jinnah Avenue,Mumbai,5,For Sale,6,4.8
3159,Flat,3800000,Cantt,Mumbai,2,For Sale,2,5.3
3161,House,16000000,Korangi,Mumbai,6,For Sale,6,4.8
3162,House,16000000,Korangi,Mumbai,7,For Sale,4,4.8
3163,Flat,3600000,North Nazimabad,Mumbai,2,For Sale,2,4
3164,Flat,7500000,Gulshan-e-Iqbal Town,Mumbai,2,For Sale,2,5.3
3165,Flat,13200000,Gulistan-e-Jauhar,Mumbai,6,For Sale,4,12
3169,House,38500000,Bahria Town Mumbai,Mumbai,5,For Sale,5,20
3171,Flat,29000000,Clifton,Mumbai,3,For Sale,3,13.3
3174,Flat,40000,DHA Defence,Mumbai,2,For Rent,2,4.2
3175,Flat,40000,Nazimabad,Mumbai,3,For Rent,3,6.7
3177,Flat,20000,Gadap Town,Mumbai,3,For Rent,3,5.1
3183,House,95000,Bahria Town Mumbai,Mumbai,6,For Rent,6,8
3187,Flat,61230,Gadap Town,Mumbai,1,For Rent,1,2
3189,Flat,120000,Sea View Apartments,Mumbai,4,For Rent,4,10.2
3192,House,165000,Navy Housing Scheme Karsaz,Mumbai,6,For Rent,5,14
3193,Flat,25000,North Nazimabad,Mumbai,2,For Rent,0,3.1
3195,Flat,50000,DHA Defence,Mumbai,3,For Rent,2,4.9
3197,Flat,8300000,Gulshan-e-Iqbal Town,Mumbai,2,For Sale,2,4.9
3198,Flat,13000000,Korangi,Mumbai,2,For Sale,3,4.7
3200,House,11000000,Scheme 33,Mumbai,3,For Sale,3,9.6
3201,House,4800000,Korangi,Mumbai,3,For Sale,5,8.1
3202,Flat,8800000,Gulistan-e-Jauhar,Mumbai,3,For Sale,3,6
3204,House,9000000,Scheme 33,Mumbai,5,For Sale,5,5.1
3205,Flat,14000000,Jamshed Town,Mumbai,2,For Sale,2,4.4
3206,House,28000000,DHA Defence,Mumbai,4,For Sale,4,4
3207,Flat,10200000,Bahria Town Mumbai,Mumbai,3,For Sale,3,10
3208,Flat,4500000,Bahria Town Mumbai,Mumbai,2,For Sale,2,4.9
3209,Flat,4500000,Gulistan-e-Jauhar,Mumbai,3,For Sale,3,4.8
3210,Flat,4000000,Gulistan-e-Jauhar,Mumbai,2,For Sale,2,3.6
3211,House,2500000,Scheme 33,Mumbai,4,For Sale,5,4.8
3215,Flat,6500000,Gulistan-e-Jauhar,Mumbai,2,For Sale,2,4.7
3218,Flat,3500000,Gulistan-e-Jauhar,Mumbai,2,For Sale,2,3.3
3220,Flat,9000000,DHA Defence,Mumbai,4,For Sale,3,4.9
3221,House,5600000,North Mumbai,Mumbai,2,For Sale,3,3.2
3222,Flat,10500000,Gulistan-e-Jauhar,Mumbai,4,For Sale,4,8.4
3224,Flat,35000000,Gulshan-e-Iqbal Town,Mumbai,4,For Sale,4,9.3
3225,Flat,4150000,North Mumbai,Mumbai,3,For Sale,3,4.5
3226,House,10000000,Bahria Town Mumbai,Mumbai,3,For Sale,3,5
3227,House,16500000,Defence View Society,Mumbai,4,For Sale,0,4.8
3229,Flat,11000000,Gulshan-e-Iqbal Town,Mumbai,3,For Sale,3,6.2
3230,House,12000000,Scheme 33,Mumbai,5,For Sale,4,4.8
3235,Flat,9000000,University Road,Mumbai,2,For Sale,2,4
3239,Flat,25500000,Diplomatic Enclave,Pune,2,For Sale,2,8
3242,House,16500000,I-10,Pune,4,For Sale,5,6
3243,House,30000000,Bahria Town,Pune,7,For Sale,4,10
3244,House,23000000,Soan Garden,Pune,6,For Sale,6,15
3245,House,4500000,Jhangi Syedan,Pune,3,For Sale,3,4
3246,Flat,12000000,I-8,Pune,3,For Sale,3,5.7
3247,House,30000000,DHA Defence,Pune,6,For Sale,6,18
3250,Flat,42500000,F-8,Pune,4,For Sale,2,10
3252,House,21000000,D-17,Pune,5,For Sale,4,10
3253,House,25000000,G-13,Pune,5,For Sale,4,11
3257,Flat,2632000,Taramrri,Pune,2,For Sale,2,2.6
3258,Farm House,20000000,E-16,Pune,5,For Sale,5,30
3259,House,15000000,G-15,Pune,5,For Sale,5,8
3260,House,13500000,G-13,Pune,4,For Sale,4,4
3261,House,3450000,Khanna Pul,Pune,2,For Sale,6,3
3262,Flat,9900000,Pune - Murree Expressway,Pune,2,For Sale,3,10.8
3263,House,6500000,PWD Housing Scheme,Pune,2,For Sale,2,3.5
3269,House,42000,G-13,Pune,5,For Rent,3,4
3270,Flat,45000,E-11,Pune,3,For Rent,3,10.2
3272,Flat,16000,Bani Gala,Pune,2,For Rent,3,5.1
3273,House,20000,Ghauri Town,Pune,2,For Rent,2,5
3280,Upper Portion,44000,DHA Defence,Pune,3,For Rent,3,10.7
3282,Upper Portion,80000,E-11,Pune,4,For Rent,4,17
3284,Upper Portion,88000,F-10,Pune,2,For Rent,2,24
3285,House,50000,G-15,Pune,5,For Rent,5,8
3286,Upper Portion,140000,F-7,Pune,3,For Rent,3,20
3287,Lower Portion,38000,E-11,Pune,3,For Rent,2,6.7
3290,House,30000,DHA Defence,Pune,2,For Rent,2,5
3291,House,6500000,Jameel Town,Chandigarh,2,For Sale,3,5
3292,House,4500000,Green Town,Chandigarh,4,For Sale,3,4
3293,House,5500000,Samundari Road,Chandigarh,1,For Sale,6,10
3294,House,8500000,Khayaban Colony 2,Chandigarh,5,For Sale,4,5
3295,House,9500000,Satiana Road,Chandigarh,3,For Sale,4,8
3296,House,19500000,Canal Road,Chandigarh,6,For Sale,5,10
3297,House,12500000,Gulbahar Colony,Chandigarh,2,For Sale,5,7
3298,House,9500000,Eden Valley,Chandigarh,4,For Sale,4,5
3299,House,9000000,Canal Road,Chandigarh,5,For Sale,4,10
3300,House,7000000,Gulfishan Colony,Chandigarh,3,For Sale,3,5
3301,House,15500000,Eden Gardens,Chandigarh,5,For Sale,4,7
3302,House,7000000,Dhudi Wala,Chandigarh,3,For Sale,2,5
3304,House,33000000,Canal Park,Chandigarh,6,For Sale,6,13
3307,Flat,2100000,Chaklala Scheme,Delhi,2,For Sale,2,4.9
3308,House,4800000,Adiala Road,Delhi,3,For Sale,2,5
3309,House,4500000,Range Road,Delhi,2,For Sale,3,4.2
3310,House,15000000,Range Road,Delhi,5,For Sale,6,7
3311,House,5200000,Bostan Road,Delhi,5,For Sale,6,5
3312,House,23500000,Bahria Town Delhi,Delhi,5,For Sale,5,10
3313,House,20500000,Shalley Valley,Delhi,7,For Sale,6,10
3314,Flat,3500000,Bahria Town Delhi,Delhi,1,For Sale,1,2.5
3315,Flat,2500000,Bahria Town Delhi,Delhi,1,For Sale,1,1.5
3316,House,5900000,Morgah,Delhi,3,For Sale,3,7
3317,House,7800000,Adiala Road,Delhi,3,For Sale,4,10
3318,House,17500000,Lalkurti,Delhi,4,For Sale,3,11
3319,House,13400000,Satellite Town,Delhi,3,For Sale,5,4
3320,House,14500000,Gulshan Abad,Delhi,3,For Sale,5,10
3321,House,6000000,Misryal Road,Delhi,5,For Sale,5,6
3323,House,12000000,Mohammadi Colony,Delhi,3,For Sale,5,6.3
3324,House,25000000,Askari 13,Delhi,6,For Sale,5,10
3325,House,7000000,Tench Bhata,Delhi,6,For Sale,4,5
3326,House,17500000,Bahria Town Delhi,Delhi,6,For Sale,5,10
3329,House,16000000,High Court Road,Delhi,5,For Sale,3,15
3330,House,75000,Muslim Town,Chandigarh,4,For Rent,4,20
3331,House,100000,Sargodha Road,Chandigarh,6,For Rent,6,24
3334,House,200000,Amin Town,Chandigarh,5,For Rent,0,40
3335,House,20000,Mahmoodabad,Chandigarh,3,For Rent,5,8.5
3336,House,50000,Askari 14,Delhi,6,For Rent,5,10
3337,Flat,36000,Askari 14,Delhi,3,For Rent,3,10
3338,Upper Portion,65000,Bahria Town Delhi,Delhi,3,For Rent,3,20
3339,Flat,40000,Bahria Town Delhi,Delhi,1,For Rent,1,6
3340,Upper Portion,90000,Bahria Town Delhi,Delhi,5,For Rent,4,28
3341,Lower Portion,22000,CBR Town Phase 2,Delhi,3,For Rent,3,7
3342,House,55000,Chaklala Scheme,Delhi,3,For Rent,4,12
3345,Upper Portion,40000,Satellite Town,Delhi,2,For Rent,3,8.2
3346,House,55000,Askari 9,Delhi,3,For Rent,3,10
3347,Upper Portion,18000,Dhok Kashmirian,Delhi,2,For Rent,2,3
3348,House,30000,Bahria Town Delhi,Delhi,2,For Rent,2,7
3350,House,32500000,Samanabad,Hyderabad,4,For Sale,4,13
3351,House,24000000,Bahria Town,Hyderabad,6,For Sale,5,14
3352,House,15800000,State Life Housing Society,Hyderabad,6,For Sale,4,10
3354,House,2150000,Nishat Colony,Hyderabad,1,For Sale,2,2
3355,House,7200000,Marghzar Officers Colony,Hyderabad,3,For Sale,3,5
3357,House,38000000,Gulberg,Hyderabad,5,For Sale,4,14
3358,House,3200000,Ghaziabad,Hyderabad,2,For Sale,3,2.5
3359,House,24000000,Bahria Town,Hyderabad,7,For Sale,5,14
3361,House,11500000,Ferozepur Road,Hyderabad,3,For Sale,3,5
3363,House,8500000,Wapda Town,Hyderabad,4,For Sale,4,5
3365,House,4500000,GT Road,Hyderabad,2,For Sale,3,3
3366,House,14000000,Township,Hyderabad,5,For Sale,6,8
3367,House,15000000,New Super Town,Hyderabad,3,For Sale,3,7
3368,House,8500000,Walton Road,Hyderabad,3,For Sale,3,4
3369,House,30000000,Shalimar Link Road,Hyderabad,2,For Sale,2,7
3370,House,5500000,Ittifaq Town,Hyderabad,3,For Sale,3,2.5
3371,House,10500000,Bedian Road,Hyderabad,4,For Sale,3,5
3372,House,8000000,Allama Iqbal Town,Hyderabad,2,For Sale,3,3.6
3373,House,21500000,DHA Defence,Hyderabad,5,For Sale,4,10
3375,Flat,16000000,Askari,Hyderabad,4,For Sale,4,10
3378,Flat,12000000,Gulberg,Hyderabad,3,For Sale,3,9
3380,Flat,1800000,Sabzazar Scheme,Hyderabad,1,For Sale,1,1
3382,House,5500000,Nishat Colony,Hyderabad,4,For Sale,3,3
3384,House,20000000,Lalazar,Hyderabad,7,For Sale,0,9
3385,House,30000000,Johar Town,Hyderabad,6,For Sale,5,13
3386,House,7500000,Township,Hyderabad,3,For Sale,5,5
3387,House,4000000,Kot Lakhpat,Hyderabad,2,For Sale,4,2.5
3388,House,17000000,Shalimar Town,Hyderabad,2,For Sale,2,20
3389,House,9500000,Mughalpura,Hyderabad,4,For Sale,3,4
3390,House,7500000,Al Rehman Garden,Hyderabad,3,For Sale,3,5
3391,House,6000000,Harbanspura Road,Hyderabad,4,For Sale,3,3
3392,Flat,38500000,DHA Defence,Hyderabad,3,For Sale,3,9.8
3393,House,9000000,Alfalah Town,Hyderabad,3,For Sale,5,5
3394,House,32000000,Marghzar Officers Colony,Hyderabad,5,For Sale,5,20
3395,House,6800000,Al Hafeez Gardens,Hyderabad,3,For Sale,3,4
3397,House,10000000,Park View Villas,Hyderabad,4,For Sale,3,5
3398,House,11000000,Sabzazar Scheme,Hyderabad,4,For Sale,4,5
3399,Flat,18500000,Askari,Hyderabad,4,For Sale,4,12
3400,House,11000000,Canal Bank Housing Scheme,Hyderabad,5,For Sale,4,5
3406,House,22500000,DHA Defence,Hyderabad,4,For Sale,4,8
3407,House,11000000,Paragon City,Hyderabad,3,For Sale,3,5
3414,Flat,4800000,Jinnah Avenue,Mumbai,3,For Sale,3,7.6
3415,House,9700000,Bahria Town Mumbai,Mumbai,3,For Sale,3,8
3416,House,18000000,Bahria Town Mumbai,Mumbai,3,For Sale,3,8
3417,House,9500000,Gadap Town,Mumbai,4,For Sale,4,4.8
3418,House,14900000,Bahria Town Mumbai,Mumbai,3,For Sale,3,8
3419,House,22000000,Malir,Mumbai,7,For Sale,6,9.6
3420,House,33000000,North Nazimabad,Mumbai,7,For Sale,6,11.2
3424,House,25000000,Federal B Area,Mumbai,2,For Sale,4,4.8
3426,House,14500000,Bahria Town Mumbai,Mumbai,4,For Sale,4,14
3427,Flat,2800000,North Nazimabad,Mumbai,2,For Sale,2,3.2
3428,House,42000000,DHA Defence,Mumbai,5,For Sale,4,10.4
3429,House,7600000,Shahra-e-Faisal,Mumbai,2,For Sale,6,4.8
3433,Lower Portion,8000000,Gulshan-e-Iqbal Town,Mumbai,3,For Sale,3,8
3435,House,11500000,Gadap Town,Mumbai,3,For Sale,2,4.8
3437,Flat,8500000,Nazimabad,Mumbai,3,For Sale,3,6.7
3438,Flat,25000000,Kashmir Road,Mumbai,2,For Sale,3,5.6
3440,House,7000000,Korangi,Mumbai,4,For Sale,5,5
3443,House,7800000,Gadap Town,Mumbai,3,For Sale,3,6.4
3447,House,33500000,DHA Defence,Mumbai,4,For Sale,4,4
3449,Lower Portion,12500000,North Mumbai,Mumbai,4,For Sale,3,7.3
3451,Flat,4800000,Gulistan-e-Jauhar,Mumbai,2,For Sale,2,4
3452,Flat,28000000,Gulshan-e-Iqbal Town,Mumbai,3,For Sale,3,7.3
3453,House,15000000,Gadap Town,Mumbai,3,For Sale,5,4.8
3454,Flat,3500000,Dastgir Colony,Mumbai,2,For Sale,2,3.2
3455,Flat,7000000,Nazimabad,Mumbai,3,For Sale,2,4
3457,Flat,5000000,Scheme 33,Mumbai,3,For Sale,3,4.4
3459,House,8000000,Malir,Mumbai,4,For Sale,3,3.8
3461,House,2800000,New Mumbai,Mumbai,2,For Sale,2,2.6
3462,Flat,15000000,Clifton,Mumbai,3,For Sale,3,6.7
3463,Flat,5900000,Gulshan-e-Iqbal Town,Mumbai,3,For Sale,3,3
3464,Flat,12500000,North Mumbai,Mumbai,4,For Sale,4,7.3
3466,Flat,7500000,Bahria Town Mumbai,Mumbai,2,For Sale,2,4.2
3467,House,4000000,New Mumbai,Mumbai,1,For Sale,2,2.6
3468,Flat,15500000,Gulshan-e-Iqbal Town,Mumbai,3,For Sale,3,8
3470,House,19000000,Shah Faisal Town,Mumbai,3,For Sale,3,8
3471,House,9000000,New Mumbai,Mumbai,5,For Sale,5,4
3472,House,6000000,Gadap Town,Mumbai,2,For Sale,2,4.8
3473,Flat,10000000,Saddar Town,Mumbai,3,For Sale,3,6.9
3476,House,21000000,Federal B Area,Mumbai,4,For Sale,5,4.8
3477,Flat,8500000,DHA Defence,Mumbai,3,For Sale,2,4
3479,Flat,4200000,Nazimabad,Mumbai,2,For Sale,2,3.3
3480,Flat,2750000,Gulshan-e-Iqbal Town,Mumbai,2,For Sale,2,2.2
3481,Flat,14000000,Shahra-e-Faisal,Mumbai,3,For Sale,3,6.7
3482,Flat,6000000,Scheme 33,Mumbai,2,For Sale,2,4.7
3484,Lower Portion,8250000,North Mumbai,Mumbai,2,For Sale,3,4.8
3485,House,10500000,Bahria Town Mumbai,Mumbai,3,For Sale,3,8
3486,House,400000,DHA Defence,Mumbai,7,For Rent,6,26
3487,Flat,27000,North Nazimabad,Mumbai,2,For Rent,2,5.2
3488,House,60000,Malir,Mumbai,4,For Rent,4,4.8
3489,Flat,28000,Gulshan-e-Iqbal Town,Mumbai,2,For Rent,2,4.4
3492,House,85000,Malir,Mumbai,4,For Rent,4,14
3494,Flat,120000,Sea View Apartments,Mumbai,3,For Rent,3,10
3496,Upper Portion,100000,DHA Defence,Mumbai,3,For Rent,3,20
3499,Flat,30000,Rashid Minhas Road,Mumbai,3,For Rent,5,5.8
3503,House,80000,Bahria Town Mumbai,Mumbai,4,For Rent,3,8
